country,continent,population,gdp_per_capita,life_expectancy,internet_users_pct,year
Suriname,South America,72.6,22836.0,73.9,58.7,2025
Haiti,North America,35.5,73103.0,72.2,69.4,2024
Ukraine,Europe,6.7,$27903,80.6,79.6,2019
Belize,N. America,49.8,57015.0,,91.0,2020
Trinidad and Tobago,North America,27.3,28093.0,74.4,84.8,2017
Eritrea,Africa,74.1,200.0,58.9,44.5,2023
Country_015,Africa,110.4,4360.0,62.2,50.1,2020
Libya,Afri ca,,200.0,,12.6,2014
Serbia,Europe,41.8,32302.0,77.4,99.0,2022
France,Europe,34.8,37814.0,69.9,99.0,2011
Switzerland,Europe,22.2,45867.0,75.9,86.3,2024
Spain,Europe,0.2,45696.0,73.1,73.0,2023
Namibia,Africa,7.9,6737.0,72.1,24.6,2022
UAE,Asia,16.8,13905.0,80.1,12.9,2022
Country_013,Asia,82.7,7480.0,66.2,43.0,2022
Country_019,Asia,232.1,10061.0,80.2,54.7,2013
Albania,Europe,0.2,33240.0,80.3,83.9,2018
Egypt,Africa,61.5,200.0,59.6,56.7,2012
Bahrain,Asia,0.2M,990.0,66.9,9.1,2012
Lebanon,Asia,0.2,9353.0,68.9,37.7,2025
Bosnia and Herzegovina,Europe,,$7126,,92.2,2020
Country_020,Africa,0.2,200.0,,,2014
Chile,South America,42.1,12766.0,75.4,69.3,2022
Papua New Guinea,Oceania,0.2,,81.4,87.8,2013
Haiti,North America,41.7,48911.0,,87.5,2016
Costa Rica,North America,0.2,68504.0,74.0,97.2,2013
Serbia,Europe,0.2,45165.0,76.5,77.9,2014
Indonesia,Asia,211.0,15640.0,61.1,40.0,2014
Trinidad and Tobago,North America,65.0,52837.0,79.8,84.3,2018
Czechia,Europe,15.2,42164.0,66.8,81.5,2023
Chile,South America,29.5,200.0,71.5,67.9,2015
Oman,Asia,91.3,7579.0,76.6,94.7,2019
Jamaica,North America,56.9,32863.0,73.4,91.0,2025
Afghanistan,Asia,,18257.0,65.4,42.2,2014
Country_008,Africa,,872.0,58.6,60.8,2018
France,Europe,17.3,35648.0,75.1,90.0,2021
Country_031,South America,0.2,8322.0,75.4,69.0,2013
Nigeria,Africa,30.8,983.0,67.1,32.3,2014
Afghanistan,Asia,4401.5,"7,491",77.6,40.4,2020
Germany,Europe,45.1,22407.0,83.8,82.8,2013
Botswana,Africa,59.1,4336.0,60.5,56.7,2025
New Zealand,Oceania,6.8,"46,164",79.6,87.1,2016
Country_028,oce ania,,41571.0,82.5,73.2,2019
Israel,Asia,0.2,11976.0,79.7,69.2,2017
Bahrain,Asia,233.6,6428.0,65.9,36.9,2013
Spain,Europe,16.8,45035.0,73.2,91.7,2025
Japan,Asia,0.2M,5326.0,,62.7,2018
Italy,Europe,0.2,43263.0,84.6,80.7,2019
Tunisia,Africa,0.2,5730.0,62.8,64.1,2024
Mozambique,Africa,39.9,4315.0,57.8,36.7,2013
Hungary,Europe,,25583.0,84.5,80.1,2015
Malaysia,Asia,140.1,2036.0,75.0,,2010
Thailand,Asia,49.5,200.0,74.8,88.0,2011
Country_023,Africa,35.5,1505.0,70.8,1.0,2024
Greece,Europe,34.6,9250.0,76.2,90.0,2016
Estonia,Europe,,51051.0,78.3,80.7,2019
North Macedonia,Europe,28.6,4250.0,80.5,82.2,2015
Morocco,Africa,29.2,2178.0,69.7,52.6,2020
Lesotho,Africa,0.2,5881.0,52.1,5.1,2012
UAE,Asia,0.2,,73.7,55.0,2016
Country_022,North America,39.9,16353.0,83.0,76.5,2012
Japan,Asia,0.2,4961.0,70.7,43.3,2017
Country_006,Africa,,1800.0,62.0,41.5,2025
Zambia,Africa,57.6,2005.0,61.6,39.0,2020
Singapore,Asia,,,79.3,71.2,2014
Country_009,Europe,10.1,,80.6,,2025
Nigeria,Africa,45.8,2089.0,68.1,36.3,2012
Spain,Europe,16.3,$19950,78.1,74.6,2024
Bosnia and Herzegovina,Europe,,11033.0,83.2,63.3,2022
Dominican Republic,North America,0.2,,78.9,76.2,2023
Niger,Africa,3.5,200.0,52.8,38.8,2012
El Salvador,North America,2021.3,75204.0,74.2,70.6,2024
Ethiopia,Africa,,698.0,63.3,8.4,2010
Libya,Africa,82.5,2011.0,60.1,10.6,2021
Uganda,Afri ca,5.9,3520.0,67.7,18.9,2013
Country_024,South America,39.0,10048.0,72.1,48.8,2021
 Country_025,Africa,,2757.0,70.2,9.8,2020
Slovakia,Europe,0.2,24853.0,80.8,77.1,2014
Country_013,Asia,,866.0,59.1,49.7,2010
Country_024,South America,3.1,14436.0,72.4,90.6,2013
Paraguay,South America,0.2,20870.0,80.9,66.2,2010
Qatar,Asia,0.2,3361.0,75.6,29.6,2023
Country_018,Africa,44.5,4657.0,64.6,46.4,2018
Brazil,South America,71.7,200.0,71.5,61.1,2012
Latvia,Europe,32.0,,78.1,76.6,2015
Bosnia and Herzegovina,Europe,19.6,42342.0,86.0,,2019
Guatemala,North America,20.0,74570.0,80.2,88.5,2020
Romania,Europe,24.5,55894.0,79.3,69.3,2021
Palestine,Asia,138.1,8254.0,83.9,41.7,2021
Norway,Europe,22.7,47721.0,75.0,93.6,2010
Botswana,Africa,21.2,200.0,64.6,45.5,2010
Ukraine,Europe,25.1,26440.0,71.3,77.8,2016
Jamaica,North America,,45428.0,79.9,75.0,2011
Kuwait,Asia,106.1,3944.0,69.4,47.3,2024
Niger,Afri ca,,2777.0,67.2,31.5,2025
Belgium,Europe,3.7,29584.0,73.7,85.5,2011
Norway,Europe,0.2,29619.0,79.2,88.7,2024
Estonia,Europe,45.8,26465.0,86.0,98.3,2014
Dominican Republic,North America,49.1,90660.0,76.8,99.0%,2018
Peru,South America,0.2,20154.0,76.6,99.0,2024
Kenya,Africa,51.4,2364.0,61.7,47.0,2024
South Sudan,Africa,0.2,5102.0,75.2,44.2,2025
Serbia,Europe,0.2,57093.0,71.6,81.1,2024
India,Asia,0.2,7416.0,80.8,44.6,2022
Slovenia,Europe,0.2,54437.0,79.7,98.6,2010
Bangladesh,Asia,0.2,14696.0,70.5,81.5,2020
Cyprus,Europe,45.1,35115.0,86.0,95.8,2024
Morocco,Africa,32.2,2426.0,62.6,32.5,2018
Country_027,Oceania,4.6,35701.0,78.4,76.9,2024
United Kingdom ,Europe,18.1,"32,210",73.9,96.3,2016
Turkey,Asia,277.4M,6695.0,85.0,80.6,2019
Samoa,Oceania,4.9,50053.0,,91.2,2013
Paraguay,South Am.,0.2,,79.5,79.1,2017
Venezuela,South America,74.8,22416.0,75.9,42.3,2016
Vietnam,Asia,3.3,17705.0,69.7,84.2,2011
Paraguay,South America,6.5,21972.0,70.9,64.9,2012
Country_017,North America,32.4,13502.0,77.2,71.3,2018
Mongolia,Asia,0.2,2532.0,,77.3,2018
Suriname,South America,0.2,200.0,77.2,51.0,2013
Dominican Republic,North America,30.8,29880.0,73.0,75.0,2014
Country_030,Africa,34.0,200.0,,38.7%,2025
Uganda,Africa,31.5,,58.5,37.5,2019
Zambia,Africa,,2610.0,64.2,19.3,2021
Oman,Asia,2325.7,600.0,73.2,45.9%,2017
Yemen,Asia,0.2,8124.0,82.5,77.2,2025
France  ,Europe,13.8,48521.0,81.5,79.7,2013
Cyprus,Europe,33.6,45940.0,77.4,85.1%,2014
Panama,North Am.,0.2,$50154,76.5,84.1,2020
Ukraine,Europe,0.2,56080.0,86.0,91.0,2015
Luxembourg,Europe,10.5,19548.0,74.9,,2021
North Korea,Asia,0.2,"4,513",79.1,31.2,2022
Country_012,South America,0.2,25663.0,76.8,71.0,2021
Peru,South America,24.2,6553.0,73.1,57.0,2019
Rwanda,Africa,0.2,4928.0,66.7,25.2,2010
Romania,Europe,9.6,27131.0,77.3,,2016
Nigeria,Africa,18.2,4170.0,62.1,11.8,2021
Croatia,Europe,19.0,27293.0,82.7,73.7,2018
Malaysia,Asia,199.1,2732.0,71.5,99.0,2025
Country_023,Africa,12.0,$200,67.7,49.1,2012
Country_018,Africa,49.7,6994.0,63.5,18.7,2021
Ghana,Africa,25.1,4328.0,,,2013
Country_022,North America,0.2,73071.0,81.3,74.1,2021
Madagascar,Africa,50.7,2150.0,67.3,33.4,2014
South Korea,Asia,392.4,10964.0,,21.7,2012
Senegal,Africa,4.4,1893.0,54.9,38.3,2025
Country_029,South America,28.2,,72.8,56.6,2017
Canada,North America,0.2,14058.0,76.4,80.8,2022
Country_003,North America,,47905.0,70.5,99.0,2015
UAE,Asia,122.0,12953.0,73.3,39.0,2015
  Lebanon,Asia,176.3,7245.0,78.6,92.6,2013
India,Asia,,14385.0,82.8,94.5,2014
Estonia,Europe,0.2,5080.0,79.5,64.7,2017
Mali,Africa,53.3,3513.0,74.5,25.6,2010
France,Europe,1716.4,40269.0,86.0,98.5,2012
Ecuador,South America,40.8,12132.0,73.8,74.7,2018
Ethiopia,Africa,52.7,,64.5,37.2,2022
Sweden,Europe,4.9,31981.0,75.7,99.0,2023
Philippines,Asia,143.8,19394.0,70.4,94.7,2010
Ireland,Europe,0.2,44139.0,85.7,83.5,2012
China,Asia,0.2,$12476,63.7,27.0,2023
Croatia ,Europe,13.8,21985.0,81.4,84.5,2025
Panama,North America,18.3,241.0,72.1,93.2,2018
Iraq  ,Asia,0.2,10369.0,73.9,88.1,2016
Tunisia,Africa,63.5,1468.0,58.0,22.7,2015
Rwanda,Africa,,3384.0,67.7,30.3%,2023
Libya,Africa,,2406.0,62.5,45.2,2011
Honduras,North America,25.8,46577.0,72.9,74.9,2015
Bahrain,Asia,263.7,200.0,72.2,74.4,2011
Poland,Europe,25.2,,86.0,87.6,2012
Country_002,Asia,10.7,3478.0,,99.0,2022
Syria  ,Asia,0.2,3515.0,78.7,48.2,2017
Bahrain,Asia,59.3,,86.0,41.6,2016
Canada,North America,,,79.4,,2023
Finland,Europe,6.1,56163.0,83.7,97.2,2024
Angola,Africa,57.4,6388.0,53.7,31.5,2021
Madagascar,Africa,20.8,$3411,,22.2,2017
UAE,Asia,,9725.0,63.3,96.9,2018
Lesotho,AFRICA,53.5,3447.0,,24.3,2023
Bosnia and Herzegovina,Europe,34.3,27248.0,73.4,84.4,2010
Italy,Europe,41.4,4048.0,74.8,97.4,2012
Country_006,Africa,0.2,5674.0,50.1,29.6,2018
Syria,Asia,211.0,200.0,62.8,90.2,2012
Mexico,North America,47.8,54118.0,78.6,,2012
China,Asia,89.9,21340.0,77.6,53.1,2020
Mexico,North America,0.2,18691.0,81.8,94.2,2021
Denmark,Europe,16.7,61242.0,74.9,97.3,2015
PORTUGAL,Europe,0.2,14263.0,77.4,76.7,2020
Country_002,Asia,0.2,3791.0,67.2,84.0,2016
Bahrain,ASIA,295.5,2704.0,69.1,48.8,2020
Canada,North America,0.2,341.0,82.1,87.6,2016
Country_012,South America,37.1,6215.0,75.3,72.4,2014
Croatia,Europe,26.2,29083.0,76.3,99.0,2013
Namibia,Africa,9.0,2931.0,65.5,1.0,2012
Jamaica,North America,0.2,200,66.3,78.1,2020
Uganda,Africa,28.1,3195.0,55.5,3.8,2016
Country_001,Europe,44.1,53900.0,79.6,86.4,2014
Portugal,Eu rope,0.2,,80.9,93.6,2023
Algeria,Africa,46.3,200.0,61.2,34.0%,2020
Lesotho,Africa,8.0,200.0,,47.7,2021
Tanzania,Africa,30.3,3818.0,61.3,20.4,2018
Angola,Africa,26.6,200.0,,35.6,2010
Lithuania,Europe,2.2,38914.0,77.1,75.4,2011
India,Asia,0.2,1558.0,68.6,42.4,2018
Costa Rica,North America,0.2,20975.0,79.4,98.1,2014
Iraq,Asia,77.2,$5602,65.0,50.3,2017
Costa Rica,North America,20.1M,47761.0,73.6,63.8,2024
Austria,Eu rope,22.7,8628.0,85.4,99.0,2016
Country_007,South America,,21154.0,69.5,77.5,2014
Austria,Eur0pe,12.9,16036.0,73.6,84.7,2020
Romania,Europe,0.2,20591.0,78.2,91.0,2023
North Korea,Asia,137.8,7652.0,61.0,20.6,2018
Haiti,North America,56.7,34753.0,77.4,91.5,2015
Country_003,North America,63.2,35612.0,79.8,87.9,2012
United States,North America,,67703.0,80.1,84.2,2023
Djibouti,Africa,0.7,,54.4,37.1,2022
Country_006,Africa,0.2,1435.0,52.3,36.7,2020
Bolivia,south america,0.2,1481.0,77.9,22.0,2025
Colombia,South America,27.7,6803.0,,62.8,2024
Country_030,Africa,63.3,3805.0,65.7,42.4,2024
Brazil,South America,89.3,20698.0,74.4,70.8,2013
Cuba,North America,0.2,52245.0,72.3,91.5,2017
Venezuela,South America,88.1,,81.1,62.5,2013
India,Asia,0.2,200.0,78.7,58.9,2017
Latvia,Europe,12.8,29138.0,78.0,82.2,2020
Indonesia,Asia,,,82.4,82.2,2021
South Korea,Asia,297.6,11222.0,82.3,76.1,2016
Honduras,North America,0.2,50177.0,78.5,99.0%,2025
  Papua new guinea,Oceania,7.3,41357.0,77.8,63.7,2018
Samoa,Oceania,5.8,44446.0,83.2,65.6,2011
Philippines,Asia,141.5,16961.0,,20.4,2013
Chile,South America,26.6,15679.0,80.4,54.5,2021
Dominican Republic,North America,0.2,33682.0,77.8,80.9,2012
United States,North America,0.3,,79.7,,2014
Belarus,Europe,0.2,26960.0,80.6,89.0,2010
Israel,Asia,,9374.0,,53.6,2015
Estonia,Europe,18.0,5219.0,72.8,92.0,2020
Senegal,Africa,27.4,200.0,61.3,,2019
Country_014  ,Africa,0.2,2697.0,,26.0,2016
Sweden,Europe,23.5,40616.0,77.5,84.2,2021
North Macedonia,Europe,,28676.0,75.9,71.2,2021
Country_027,Oceania,0.2,52175.0,79.9,76.5,2019
Zimbabwe,Africa,66.1,2576.0,54.4,37.0,2014
Sweden,Europe,0.2,,78.2,,2017
Vietnam,Asia,134.0,4036.0,68.8,58.3,2012
Namibia,Africa,0.2,1447.0,64.3,57.1,2025
Kuwait,Asia,0.2,$10935,80.2,68.3,2014
Botswana,Africa,119.1,2228.0,63.9,41.8,2017
Ethiopia,Africa,72.1,2326.0,51.1,3.9,2023
Lesotho,Africa,,1082.0,57.0,1.0,2020
Trinidad and Tobago,North America,73.0,52157.0,77.3,81.6,2023
Libya,Africa,17.2,1147.0,65.6,36.5,2012
