,Rank,Peak,All Time Peak,Actual gross,Adjusted gross,Artist,Tour title,Year,Shows,Average gross
0,1,1.0,2.0,780000000,780000000,Taylorswift,Theerastour,2023,56,13928571
1,2,1.0,72.0,579800000,579800000,Beyonc,Renaissanceworldtour,2023,56,10353571
2,3,14.0,25.0,411000000,560622615,Madonna,Stickysweettoura,2008,85,4835294
3,4,27.0,107.0,397300000,454751555,Pink,Beautifultraumaworldtour,2018,156,2546795
4,5,24.0,108.0,345675146,402844849,Taylorswift,Reputationstadiumtour,2018,53,6522173
5,6,24.0,109.0,305158363,388978496,Madonna,Themdnatour,2012,88,3467709
6,7,210.0,327.0,280000000,381932682,Celinedion,Takingchancesworldtour,2008,131,2137405
7,7,197.14285714285714,545.0,257600000,257600000,Pink,Summercarnival,2023,41,6282927
8,9,184.28571428571428,763.0,256084556,312258401,Beyonc,Theformationworldtour,2016,49,5226215
9,10,171.42857142857144,981.0,250400000,309141878,Taylorswift,Theworldtour,2015,85,2945882
10,11,158.57142857142856,1199.0,229100000,283202896,Beyonc,Themrscartershowworldtour,2013,132,1735606
11,12,145.71428571428572,1417.0,227400000,295301479,Ladygaga,Themonsterballtour,2009,203,1118227
12,13,132.85714285714286,1417.0,204000000,251856802,Katyperry,Prismaticworldtour,2014,151,1350993
13,14,120.0,1417.0,200000000,299676265,Cher,Livingproofthefarewelltoura,2002,325,615385
14,15,2.0,1417.0,194000000,281617035,Madonna,Confessionstour,2006,60,3233333
15,16,2.0,1417.0,184000000,227452347,Pink,Thetruthaboutlovetour,2013,142,1295775
16,17,2.0,1417.0,170000000,213568571,Ladygaga,Bornthiswayball,2012,98,1734694
17,18,2.0,1417.0,169800000,207046755,Madonna,Rebelhearttour,2015,82,2070732
18,19,2.0,1417.0,167700000,204486106,Adele,Adelelive,2016,121,1385950
19,20,2.0,1417.0,150000000,185423109,Taylorswift,Theredtour,2013,86,1744186
